Genres,Title,Artists,Quality,Transpose,Link,,,,,
,Ribbon In the Sky,Stevie Wonder,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/22283/Product.aspx,,,,,
,You and I,Stevie Wonder,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/27235/Product.aspx,,,,,
,Lately,Stevie Wonder,★★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/58219/Product.aspx,,,,,
,93 Million Miles,Jason Mraz,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/92118/Product.aspx,,,,,
,Love Someone,Jason Mraz,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/154425/Product.aspx,,,,,
,I Won't Give Up,Jason Mraz,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/87788/Product.aspx,,,,,
,Dreams,The Cranberries,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/157897/Product.aspx,,,,,
,Linger,The Cranberries,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64563/Product.aspx,,,,,
,What I Did for Love,A Chorus Line,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/29827/Product.aspx,,,,,
,Leave Out All the Rest,Linkin Park,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/70334/Product.aspx,,,,,
,Shadow of the Day,Linkin Park,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/62989/Product.aspx,,,,,
,My Immortal,Evanescence,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/153640/Product.aspx,,,,,
,Will You Be There,Michael Jackson,★★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/415640/Product.aspx,,,,,
,Under the Bridge,Red Hot Chili Peppers,★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/64535/Product.aspx,,,,,
,Only Human,The Jonas Brother,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/421744/Product.aspx,,,,,
,Light Switch,Charlie Puth,★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/572892/Product.aspx,,,,,
,Attention,Charlie Puth,★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/183667/Product.aspx,,,,,
,,,,,,,,,,
,Passionfruit,Drake,★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/181497/Product.aspx,,,,,
,Blinding Lights,The Weeknd,★★★ needs practice,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/432384/Product.aspx,,,,,
,Leave the Door Open,"Anderson .Paak, Bruno Mars, Silk Sonic",★,-2,https://www.sheetmusicdirect.com/en-US/se/ID_No/479939/Product.aspx,,,,,
,Always Remember Us This Way,Lady Gaga,★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/403235/Product.aspx,,,,,
,Secrets,OneRepublic,★ needs practice,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/76521/Product.aspx,,,,,
,When I Was Your Man,Bruno Mars,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/95337/Product.aspx,,,,,
,Memories,Maroon 5,★★,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/424542/Product.aspx,,,,,
,Mirrors,Justin Timberlake,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/97062/Product.aspx,,,,,
70s,Took the Long Way Home,Supertramp,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/84796/Product.aspx,,,,,
70s,I Wouldn’t Want to Be Like You,Alan Parsons Project,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/53691/Product.aspx,,,,,
80s,Old And Wise,Alan Parsons Project,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/67135/Product.aspx,,,,,
70s,Sorry Seems to Be the Hardest Word,Elton John,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23641/Product.aspx,,,,,
,Who Will Save Your Soul,Jewel,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64502/Product.aspx,,,,,
,Stressed Out,21 Pilots,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/161462/Product.aspx,,,,,
,Toxic,Britney Spears,★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/26639/Product.aspx,,,,,
Musical,The Origin of Love,Stephen Trask,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/28208/Product.aspx,,,,,
Musical,What Do You Do with a B.A. in English?,Avenue Q,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/28495/Product.aspx,,,,,
,November Rain,Guns N' Roses,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/76207/Product.aspx,,,,,
Musical,Wicked Little Town,Stephen Trask,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/28210/Product.aspx,,,,,
,Green-Eyed Lady,Sugarloaf,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/52124/Product.aspx,,,,,
,So Amazing,Luther Vandross,★★★★,+1,https://www.sheetmusicdirect.com/en-US/se/ID_No/199095/Product.aspx,,,,,
,Turn Your Love Around,George Benson,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/59014/Product.aspx,,,,,
,Fireflies,Adam Young,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/72406/Product.aspx,,,,,
,Make You Feel My Love,Adele Adkins,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/40039/Product.aspx,,,,,
,Dance With Me,Orleans,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/67174/Product.aspx,,,,,
,You Can Do Magic,America,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/85946/Product.aspx,,,,,
,Peaceful Easy Feeling,The Eagles,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/96927/Product.aspx,,,,,
,Ordinary People,John Legend,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/31711/Product.aspxx,,,,,
,Thinkin’ Bout You,Frank Ocean,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/95062/Product.aspxx,,,,,
,Super Rich Kids,Frank Ocean,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/95065/Product.aspx,,,,,
,Best Part,H.E.R.,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/409815/Product.aspx,,,,,
,Watermelon Sugar,Harry Styles,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/442365/Product.aspx,,,,,
,Superman,Five for Fighting,★★★,,https://musescore.com/official_scores/scores/6961655,,,,,
,100 Years,Five for Fighting,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/26572/Product.aspx,,,,,
,Elastic Heart,Sia,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/154077/Product.aspx,,,,,
,Holding Out for a Hero,Bonnie Tyler,needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/86290/Product.aspx,,,,,
,Breakfast In America,Supertramp,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23276/Product.aspx,,,,,
,Monster,"Shawn Mendes, Justin Bieber",needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/473791/Product.aspx,,,,,
,Adore You,Harry Styles,,,https://www.sheetmusicwdirect.com/en-US/se/ID_No/435370/Product.aspx,,,,,
,Wonder,Shawn Mendes,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/469937/Product.aspx,,,,,
,Jar of Hearts,Christina Perri,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/77596/Product.aspx,,,,,
Musical,One Day I'll Fly Away (Moulin Rouge),"Joe Sample, Will Jennings",★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18040/Product.aspx,,,,,
"Rock, Glam rock, 70s","Science Fiction, Double Feature (Rocky Horror Picture Show)",Richard O'Brien,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/77001/Product.aspx,,,,,
,If You're Not the One,Daniel Bedingfield,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23393/Product.aspx,,,,,
,What Is Love?,Haddaway,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/59410/Product.aspx,,,,,
,Lost On You,LP,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/123764/Product.aspx,,,,,
,Emma – Piano Suite,Rachel Portman,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/814116/Product.aspx,,,,,
,Feelings (Dime),Morris Albert,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/36764/Product.aspx,,,,,
,I Want To Know What Love Is,Foreigner,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/33712/Product.aspx,,,,,
,All Fall Down,OneRepublic,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64986/Product.aspx,,,,,
,Say (All I Need),OneRepublic,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64980/Product.aspx,,,,,
,Prodigal,OneRepublic,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64981/Product.aspx,,,,,
,Good Life,OneRepublic,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/84085/Product.aspx,,,,,
,Come Home,OneRepublic,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64965/Product.aspx,,,,,
,Someone To Save You,OneRepublic,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64978/Product.aspx,,,,,
,Over My Head (Cable Car),The Fray,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/54718/Product.aspx,,,,,
"Rock, Glam rock",The Show Must Go On,Queen,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/35794/Product.aspx,,,,,
,Live And Let Die,Paul McCartney,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/24159/Product.aspx,,,,,
,Doing All Right,Queen,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/403442/Product.aspx,,,,,
,Total Eclipse of the Heart,Bonnie Tyler,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/33489/Product.aspx,,,,,
,Handbags and Gladrags,Michael D'Abo,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/32484/Product.aspx,,,,,
,Only Time,Enya,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18828/Product.aspx,,,,,
,Ebb Tide,The Righteous Brothers,★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23834/Product.aspx,,,,,
,Hello,Evanescence,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/37111/Product.aspx,,,,,
,Melodramma,Andrea Bocelli,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/409185/Product.aspx,,,,,
,Puff The Magic Dragon,,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/76363/Product.aspx,,,,,
,No Bravery,James Blunt,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/32365/Product.aspx,,,,,
,Careless Whisper,George Michael,★★★★,,PDF,,,,,
,Broken Vow,Josh Groban,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23420/Product.aspx,,,,,
,Written In The Stars,Aida,,,https://sheetmusicdirect.com/en-US/se/ID_No/13881/Product.aspx,,,,,
,Angel,Sarah McLachlan,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18204/Product.aspx,,,,,
,Aida,Sarah McLachlan,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16635/Product.aspx,,,,,
,Second Hand Rose,,★★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/30492/Product.aspx,,,,,
,Who Will Buy,Barbara Streisand,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/15873/Product.aspx,,,,,
,All I Ask Of You (Phantom Of The Opera),,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/21369/Product.aspx,,,,,
,I Will Wait For You,Connie Francis,★★★ needs practice,,PDF,,,,,
,I Finally Found Someone,,★★★★,,PDF,,,,,
,Nights In White Satin,,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/13707/Product.aspx,,,,,
,I Don't Want To Set The World On Fire,The Ink Spots,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/31345/Product.aspx,,,,,
,Here's That Rainy Day,Burke,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/93594/Product.aspx,,,,,
,You Light Up My Life,,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/30132/Product.aspx,,,,,
,Close To You,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19647/Product.aspx,,,,,
,You Were Meant For Me,Jewel,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64479/Product.aspx,,,,,
,You Belong With Me,Taylor Swift,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/68018/Product.aspx,,,,,
,Overprotected,,★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/31321/Product.aspx,,,,,
,Somewhere Over The Rainbow,,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/24161/Product.aspx,,,,,
,You Don't Own Me,,Needs Practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/445307/Product.aspx,,,,,
,Wind Beneath My Wings,Bette Midler,★★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94668/Product.aspx,,,,,
,My Favorite Things,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16570/Product.aspx,,,,,
,Born To Die,Lana Del Rey,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/113587/Product.aspx,,,,,
,Summertime Sadness,Lana Del Rey,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/113700/Product.aspx,,,,,
,Lights,Ellie Goulding,★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/91723/Product.aspx,,,,,
,Atmosphere,Kaskade,,,https://musescore.com/official_scores/scores/6938891,,,,,
,Titanium (feat Sia),Guetta,★★★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/113581/Product.aspx,,,,,
,Young And Beautiful,Lana Del Rey,★★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19811/Product.aspx,,,,,
,Always And Forever,Heatwave (Rod Temperton),★★★★ needs practice,,,,,,,
,Endless Love,Diana Ross & Lionel Ritchie,★★★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16361/Product.aspx,,,,,
,Your Secret Love,,★★★★,,https://www.scribd.com/read/272741192/Brad-Paisley-Greatest-Hits,,,,,
,Never Gonna Give You Up,Rick Astley,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64429/Product.aspx,,,,,
,Fix You,Coldplay,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/32247/Product.aspx,,,,,
,Hey There Delilah,,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94805/Product.aspx,,,,,
,Time To Say Goodbye,,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/27514/Product.aspx,,,,,
,I'll Be There,,★★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/50154/Product.aspx,,,,,
,What You Wont Do For Love,,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/27623/Product.aspx,,,,,
,21 Guns (American Idiot),Green Day,★★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/86042/Product.aspx,,,,,
,Eart Hearts And Gentle People,,★★★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/97037/Product.aspx,,,,,
,Swinging On A Star,,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94261/Product.aspx,,,,,
,Mountain Greenery,,★★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/83332/Product.aspx,,,,,
,Rocket Man,,★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/50801/Product.aspx,,,,,
,Can You Feel The Love Tonight,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16276/Product.aspx,,,,,
,Hana-bi,,★★ needs practice,,PDF,,,,,
,What Was I Made For (from Barbie),Billie Eilish,★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/1360554/Product.aspx,,,,,
,Never Enough (The Greatest Showman),,don't know yet,,https://www.sheetmusicdirect.com/en-US/se/ID_No/198160/Product.aspx,,,,,
,Belle (Notre Dame de Paris),Giroud,★ needs practice,,https://musescore.com/user/1185421/scores/5548181,,,,,
,Aimer (Romeo et Juliette),,★ needs practice,,https://musescore.com/user/36962362/scores/10981309,,,,,
,L'envie D'aimer,Daniel Levi,★★★★ needs practice,,PDF,,,,,
,Part Of Your World,,★★★★,,,,,,,
,Electric Feel,MGMT,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/42865/Product.aspx,,,,,
,Something About Us,,★★,,https://musescore.com/user/4002676/scores/6784401,,,,,
,The Great Escape,Boys Like Girls,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/59300/Product.aspx,,,,,
,Always,Billie Holiday,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16318/Product.aspx,,,,,
,It's Over,Irving Berlin,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/65431/Product.aspx,,,,,
,Stormy Weather,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/13857/Product.aspx,,,,,
,Let's Call The Whole Thing Off,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/46778/Product.aspx,,,,,
,Never Been In Love Before,,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/52668/Product.aspx,,,,,
,Sunday Kind Of Love,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/30899/Product.aspx,,,,,
,White Flag,Dido,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/25378/Product.aspx,,,,,
,Thank You,Dido,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/27329/Product.aspx,,,,,
,There's A Light (Over At the Frankenstein),Rocky Horror,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/76999/Product.aspx,,,,,
,Anything Goes,,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/38789/Product.aspx\,,,,,
,Dance The Night Away,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/1334924/Product.aspx,,,,,
,Just Once,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/21434/Product.aspx,,,,,
,Into Each Life Some Rain Must Fall,w,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/30934/Product.aspx,,,,,
,Embraceable You,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/95683/Product.aspx,,,,,
,Swanee,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/53029/Product.aspx,,,,,
,Sitting On Top Of The World,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/31351/Product.aspx,,,,,
,I Want To Be Happy,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/158511/Product.aspx,,,,,
,Tea For Two,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/158719/Product.aspx,,,,,
,Lollipops and Roses,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/29531/Product.aspx,,,,,
,Dream A Little Dream Of Me,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/52342/Product.aspx,,,,,
,"Five Foot Two, Eyes Of Blue",,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/28763/Product.aspx,,,,,
,"Vincent (Starry, Starry Night)",,★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/50824/Product.aspx,,,,,
,Tie A Yellow Ribbon,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23394/Product.aspx,,,,,
,Arthur's Theme,Christopher Cross,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/92024/Product.aspx,,,,,
,Hard To Say I'm Sorry,Chicago,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16370/Product.aspx,,,,,
,La Vie En Rose,Edith Piaf,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/158540/Product.aspx,,,,,
,Vienna,Billy Joel,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/72899/Product.aspx,,,,,
,,,,,,,,,,
,*fin (Chords),Anberlin,★★★,,https://tabs.ultimate-guitar.com/tab/anberlin/fin-chords-484728,,,,,
,Maneater (Chords),Hall & Oates,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/1408528/Product.aspx,,,,,
,ALONE AGAIN (NATURALLY),GILBERT O’SULLIVAN,★★,1,https://www.sheetmusicdirect.com/en-US/se/ID_No/23948/Product.aspx,,,,,
,Zombie,Cranberries,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/155258/Product.aspx,,,,,
,Crazy,Gnarls Barkeley,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/55568/Product.aspx,,,,,
,Love Never Felt So Good,Michael Jackson,★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/118659/Product.aspx,,,,,
,Hero,Enrique Englasias,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18895/Product.aspx,,,,,
,The End Of The World,Skeeter Davis,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/37419/Product.aspx,,,,,
,No Doubt,Don't Speak,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/50759/Product.aspx,,,,,
,You Put A Move On My Heart,Tamia,,,PDF,,,,,
,Heavyweight,Infected Mushroom,,,PDF,,,,,
,Within,Daft Punk,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/116237/Product.aspx,,,,,
,Walk On By,Dionne Warwick,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/28402/Product.aspx,,,,,
,Here,Alessia Cara,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/162364/Product.aspx,,,,,
,Stay,Alessia Cara ft Zedd,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/187030/Product.aspx,,,,,
,Someone You Loved,Lewis Capaldi,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/409456/Product.aspx,,,,,
,Leaving On A Jet Plane,,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/24129/Product.aspx,,,,,
,For The Longest Time,Billy Joel,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23364/Product.aspx,,,,,
,Dancin' In The Moonlight,King Harvest,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/160679/Product.aspx,,,,,
,La Farfalla,Patrick Hamilton,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/841840/Product.aspx,,,,,
,La Danse D'Amour,,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/841844/Product.aspx,,,,,
,I Just Died In Your Arms,Cutting Crew,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/57395/Product.aspx,,,,,
,End Of The Road,Boys II Men,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16360/Product.aspx,,,,,
,Kill Bill,SZA,★,,https://musescore.com/user/28070363/scores/9454399,,,,,
,Strangers,Seven Lions,★★,,https://musescore.com/user/30755992/scores/5388219,,,,,
,Heatwaves,Glass Animals,★,,https://musescore.com/user/39593079/scores/7511861,,,,,
,Black & Gold,,,,https://musescore.com/official_author/scores/6921845,,,,,
,Fuck You,Lilly Allen,,,https://musescore.com/user/36078479/scores/8456651,,,,,
,Almost Lover,A Fine Frenzy,,,https://musescore.com/official_author/scores/6921643,,,,,
,Requiem Pour Un Fou,,,,https://musescore.com/elliomario/scores/6599255,,,,,
,Love ,Keyshia Cole,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/54242/Product.aspx,,,,,
,House Is Not A Home,Bacharach & David,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/76979/Product.aspx,,,,,
,Shape Of My Heart,Backstreet Boys,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/57047/Product.aspx,,,,,
,Endlessly,Muse,★★★,,https://musescore.com/official_author/scores/6922331,,,,,
,Sing For Absolution,Muse,,,https://musescore.com/official_scores/scores/6932600,,,,,
,Something About Us,,NEEDS PRACTICE,,https://musescore.com/user/4002676/scores/6784401,,,,,
,Wish You Were Here,Pink Floyd,,,PDF,,,,,
,Woman In Love,Barbara Streisand,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/50973/Product.aspx,,,,,
,You Are Not Alone,Michael Jackson,,,https://musescore.com/official_scores/scores/6976951,,,,,
,For You And I,10cc,,,https://archive.org/details/10cc-ForYouAndI1978-SheetMusic_201901/page/3/mode/2up?view=theater,,,,,
,In Pieces,Linkin Park,,,https://musescore.com/user/189765/scores/6791879,,,,,
,Sing For Absolution,MUSE,,,PDF,,,,,
,Misty,Erroll Garner (Scott Camp Version),,,https://musescore.com/user/39593079/scores/16442035,,,,,
,Calma,Farruko,,,https://musescore.com/user/31086979/scores/6421982,,,,,
,Holdin On To Yesterday,,,,https://musescore.com/user/39593079/scores/16248523,,,,,
,My Love,Paul McCartney,,,https://musescore.com/official_scores/scores/6946752,,,,,
,Believe,Cher,,,https://musescore.com/official_scores/scores/6951659,,,,,
,Crawling,Linkin Park,,,https://musescore.com/user/24362951/scores/4515206,,,,,
,Please Please Please,Sabrina Carpenter,,,https://musescore.com/user/39593079/scores/17907490,,,,,
,One Last Night,Vaults,,,https://musescore.com/official_scores/scores/6933092,,,,,
,Get Lucky,Daft Punk,,,https://musescore.com/official_scores/scores/6938008,,,,,
,Scared To Be Lonely,,,,https://musescore.com/official_scores/scores/6931577,,,,,
,Good Things Fall Apart,,,,https://musescore.com/official_scores/scores/6944678,,,,,
,Lonely (feat Benny Blanco),Justin Bieber,★★,,https://musescore.com/user/2489906/scores/6401733,,,,,
,A Sky Full of Stars,Coldplay,★,,https://musescore.com/official_author/scores/6921571,,,,,
,Doubt,Delphic,★★,,https://musescore.com/user/39593079/scores/15396124,,,,,
,What Else Is There,Royksopp,★,,https://musescore.com/user/31189059/scores/6144435,,,,,
,Best of Times,Styx,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/65338/Product.aspx,,,,,
,Good Luck Babe,Chappel Roan,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/1569656/Product.aspx,,,,,
,I Remember,Kaskade,★★,,https://musescore.com/user/39593079/scores/20633998,,,,,
,Six Underground,Sneaker Pimps,★★,,https://musescore.com/user/39593079/scores/15380617,,,,,
